週,紹介者名,ビジター名,ビジター業種,紹介日,案件名,リファーラル金額,カテゴリ,リファーラル提供者,サンクスリップ枚数,ワンツーワン回数,出席状況
2024年11月4週目,田中美咲,中村製薬 中村様,製薬・医療,2024-11-25,医療機器販売,4500000,成約,山田太郎,3,2,出席
2024年11月4週目,高橋健太,吉田コンサル 吉田様,コンサルティング,2024-11-26,経営改善支援,2800000,成約,佐藤花子,2,1,出席
2024年11月4週目,山田太郎,山本物産 山本様,卸売業,2024-11-25,商品仕入れルート開拓,3200000,商談中,鈴木一郎,4,2,出席
2024年11月4週目,佐藤花子,岡田教育 岡田様,教育・研修,2024-11-27,企業研修プログラム,1800000,成約,田中美咲,2,1,出席
2024年11月4週目,鈴木一郎,木村金融 木村様,金融・保険,2024-11-26,資金調達コンサル,5500000,商談中,高橋健太,3,3,出席
2024年11月4週目,田中美咲,,,,販促ツール制作,900000,成約,佐藤花子,1,1,出席
2024年11月4週目,高橋健太,林マーケティング 林様,マーケティング,2024-11-28,SNS運用代行,750000,見込み,,2,1,出席
2024年11月4週目,山田太郎,清水エンジニアリング 清水様,エンジニアリング,2024-11-27,設備保守契約,2100000,成約,鈴木一郎,2,2,出席
2024年11月4週目,佐藤花子,石川人材 石川様,人材サービス,2024-11-26,採用支援サービス,1400000,商談中,田中美咲,3,1,出席
2024年11月4週目,鈴木一郎,井上法律 井上様,法律・会計,2024-11-25,顧問契約,1600000,成約,高橋健太,2,2,出席
