timestamp,入力日,紹介者名,メールアドレス,出席状況,ビジター名,ビジター会社名,ビジター業種,案件名,リファーラル金額,カテゴリ,リファーラル提供者,サンクスリップ数,ワンツーワン数,アクティビティ,コメント
"2025-11-09 10:05:00",2025-11-09,佐藤花子,sato@example.com,代理出席,,,,保険契約,60000,デザイン,渡辺誠,2,3,,今週も良い成果がありました
"2025-11-09 10:05:00",2025-11-09,佐藤花子,sato@example.com,代理出席,清水十郎,合同会社DEF,サービス業,物販契約,90000,不動産,小林大輔,2,3,,今週も良い成果がありました
"2025-11-08 10:47:00",2025-11-08,中村由美,nakamura@example.com,出席,鈴木次郎,有限会社GHI,サービス業,会計顧問契約,480000,法律,小林大輔,0,0,,
"2025-11-08 10:47:00",2025-11-08,中村由美,nakamura@example.com,出席,森十二郎,株式会社YZA,建設,セミナー開催,110000,デザイン,鈴木一郎,0,0,,
"2025-11-13 15:22:00",2025-11-13,高橋健,takahashi@example.com,欠席,,,,人材紹介案件,270000,保険,小林大輔,0,3,,
"2025-11-10 11:24:00",2025-11-10,小林大輔,kobayashi@example.com,代理出席,,,,マーケティング支援,390000,マーケティング,加藤美穂,5,1,,
"2025-11-11 12:22:00",2025-11-11,鈴木一郎,suzuki@example.com,代理出席,,,,ITシステム導入,110000,人材,鈴木一郎,0,0,,今週も良い成果がありました
"2025-11-09 14:30:00",2025-11-09,田中美咲,tanaka@example.com,出席,鈴木次郎,株式会社XYZ,IT・システム開発,不動産売買仲介,890000,保険,高橋健,5,3,,今週も良い成果がありました
"2025-11-14 18:32:00",2025-11-14,鈴木一郎,suzuki@example.com,欠席,,,,-,0,,,3,1,,
"2025-11-14 18:16:00",2025-11-14,山田太郎,yamada@example.com,出席,,,,ITシステム導入,530000,会計・税務,佐藤花子,4,1,,
"2025-11-14 18:16:00",2025-11-14,山田太郎,yamada@example.com,出席,林八郎,株式会社ABC,教育,ITシステム導入,590000,法律,加藤美穂,4,1,,
